Compound,Compound_ID,Accepted,Adducts,Formula,Score,Fragmentation_Score,Mass_Error_ppm,Isotope_Similarity,Theoretical_Isotope_Distribution,Link,Description,Neutral_mass_Da,mz,Charge,Retention_time_min,Reason_of_identification,Number_of_identifications,Maximum_score,Second_highest_score,HYG_001,HYG_002,HYG_003,HYG_004,HYG_005,HYG_006,HYG_008,HYG_009,HYG_010,HYG_011,HYG_012,HYG_013,HYG_014,HYG_015,HYG_016,HYG_017,HYG_018,HYG_019,HYG_020,HYG_021,HYG_022,HYG_023,HYG_024,HYG_025,HYG_026,HYG_027,HYG_028,HYG_029,HYG_030,HYG_031,HYG_032,HYG_033,HYG_034,HYG_035,HYG_036,HYG_037,HYG_038,HYG_039,HYG_040,HYG_041,HYG_042,HYG_043,HYG_044,HYG_045,HYG_046,HYG_047,HYG_048,HYG_049,HYG_050,HYG_051,HYG_052,HYG_053,HYG_054,HYG_055,HYG_056,HYG_057,HYG_058,HYG_059,HYG_060,HYG_061
0.99_665.5720m/z,CSID24608136,*,M+H,C41H76O6,38.5,0.765,0.856046688,92.92241359,100 - 45.4 - 11.3 - 2.02 - 0.285,http://nonlinear.com/redirect/outbound?p=chemspider&param=24608136,3-(Butyryloxy)-2-(palmitoyloxy)propyl (4Z)-4-octadecenoate,NA,665.5720353,1,0.985866667,Only identification found,1,38.5,38.5,0,0,0,0,0,4.051150961,0,0,0,0,0,0,1.13854934,420.1984476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.42567674,0,0,0,0,0,25.09938896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12082478,0.571884534,0,0,0.021889617,0,0,0,1.348563804
0.99_698.5880m/z,CSID30776813,*,M+NH4,C48H72O2,31.5,0,1.317901494,58.90343034,100 - 52.8 - 14.1 - 2.53 - 0.343,http://nonlinear.com/redirect/outbound?p=chemspider&param=30776813,"2,3-Dimethyl-5-[(2E,6E,10E,14E,18E,22Z,26E)-3,7,11,15,19,23,27,31-octamethyl-2,6,10,14,18,22,26,30-dotriacontaoctaen-1-yl]-1,4-benzoquinone",NA,698.5879544,1,0.985866667,Only identification found,1,31.5,31.5,0,0,0,0,0,0,0,0,0,0,0,0,0,144.2845159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.12689848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.99_724.9642m/z,CSID63257,*,2M+H,C13F10O,31.6,0,-1.271814219,59.66199715,100 - 14.1 - 1.12,http://nonlinear.com/redirect/outbound?p=chemspider&param=63257,perfluorobenzophenone,NA,724.9642497,1,0.989666667,Only identification found,1,31.6,31.6,0,0,0,0,0,5047.500259,0,0,0,0,0,0,0,0,0,0,46.37898067,0,0,0,0,0,0,0,0,0,0,0,0,687.9605549,0,0,0,0,0,983.6306458,0,0,0,363.1177044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2918.37258
0.99_733.6286m/z,CSID35014693,*,M+H-H2O,C53H82O2,32.7,0,0.485905192,64.11779793,100 - 58.3 - 17.1 - 3.37 - 0.501,http://nonlinear.com/redirect/outbound?p=chemspider&param=35014693,"2,7,8-Trimethyl-2-[(3Z,7Z,11E,15E,19E,23E,27E)-4,8,12,16,20,24,28,32-octamethyl-3,7,11,15,19,23,27,31-tritriacontaoctaen-1-yl]-6-chromanol",NA,733.6285585,1,0.993466667,Only identification found,1,32.7,32.7,0,0.269935613,3.900023043,0,0.034117543,0,3.148787975,0,0.661938327,0.40516767,0,0,328.3988954,518.0392745,0,0.29256931,0,0.005681001,0.008927191,0.013756757,1.280017878,3.119629374,0.464578803,2.47777285,0.503185892,0,0,68.05769848,0,818.5314599,0.578358926,0.655641052,0,0.486623438,0.000216487,0,0,0,0.587299634,0,2.814296831,1.615090969,3.539752957,7.413099066,0.001882545,0.544458987,0,0,0.323288853,0.000941285,1.033061673,0.734805919,61.39459606,0,0,0,0,0.001838051,0.196215817,0
1.01_739.2986m/z,CSID24604936,*,M+Na,C35H48N4O10S,37.8,0.288,0.405148217,88.96594687,100 - 41 - 14.8 - 3.73 - 0.759 - 0.128,http://nonlinear.com/redirect/outbound?p=chemspider&param=24604936,2-[2-({[7-(Diethylamino)-2-oxo-2H-chromen-3-yl]carbonyl}amino)ethoxy]ethyl 3-{[5-({[(2-methyl-2-propanyl)oxy]carbonyl}amino)pentyl]carbamoyl}benzenesulfonate,NA,739.2986259,1,1.012483333,Only identification found,1,37.8,37.8,0,0,0,0,0,4.050718042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.02_435.4202m/z,CSID30777151,*,M+H,C29H54O2,38.7,0,1.222937365,95.17905062,100 - 32.1 - 5.38 - 0.628,http://nonlinear.com/redirect/outbound?p=chemspider&param=30777151,"(20Z)-20-Nonacosene-2,4-dione",NA,435.4201887,1,1.016283333,Only identification found,1,38.7,38.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.02_616.1305m/z,CSID401223,*,M+H-2H2O,C34H32ClFeN4O4,19.9,0,-2.780151617,2.818924308,6.21 - 2.41 - 100 - 40.9 - 40.4 - 14.3 - 3.1 - 0.494,http://nonlinear.com/redirect/outbound?p=chemspider&param=401223,hemin,NA,616.1304828,1,1.016283333,Only identification found,1,19.9,19.9,29.493409,78.30442985,80.55437129,3.42631683,39.20447574,375.94114,77.72484021,1.763896935,35.31749119,57.5603302,0,36.36389722,2157.241566,1782.596444,54.16185138,34.52456713,0,5.22618465,33.38714199,108.6659454,61.92624233,72.514926,68.73951789,54.17099075,74.28746269,59.57611116,0,629.4052412,34.93817313,1408.555567,37.01279073,0,9.093703244,88.1156096,188.5738868,0.909861006,89.04484735,25.36778806,116.6334621,74.14546029,51.4962235,32.83171165,58.45258061,54.55409904,7.105537372,69.62889557,59.58758836,26.18183881,39.26157689,47.68450219,91.09587766,107.1938002,1209.559096,0,124.8523156,24.42932827,0.111539615,78.78271868,59.31245035,1889.844108
1.02_777.3305m/z,CSID4343,*,2M+H,C20H24N2O6,35.6,0,-4.68391137,83.48266353,100 - 22.9 - 3.73 - 0.455,http://nonlinear.com/redirect/outbound?p=chemspider&param=4343,Nisoldipine,NA,777.3305122,1,1.016283333,Only identification found,1,35.6,35.6,0,0,0,0,0,0,0,0,0,0,0,0,10.10084508,27.89351322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.91497047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.02_915.1813m/z,CSID65328667,*,2M+H,C21H23BrF3NO2,29.5,0,1.283861802,49.26259506,99.7 - 23.3 - 100 - 23 - 2.96 - 0.275,http://nonlinear.com/redirect/outbound?p=chemspider&param=65328667,N-(4-Bromophenyl)-2-{hydroxy[4-(trifluoromethyl)phenyl]methyl}-N-methylhexanamide,NA,915.1813021,1,1.0201,Only identification found,1,29.5,29.5,15.93785796,17.73045732,43.92180582,17.02853864,11.0883969,666.2743572,76.30092572,4.009322706,19.6807332,51.46770431,0,46.90717395,10239.25098,194.9844631,28.35591923,6.666922871,27.05302975,7.026077393,24.66189581,386.2071222,21.14926928,64.97344649,41.16878536,167.4676405,36.60430708,63.155508,3.647104173,1412.919653,12.8841011,9997.513179,20.2342174,0,2.185987177,38.62270058,538.3261154,172.4535288,23.65397264,15.28302942,81.84802792,206.0477139,27.01812671,4.836455788,35.19268653,38.77928596,9.234790783,53.47514862,46.87028145,9.18511873,11.67844201,20.29045992,429.0784335,194.0792331,3293.645646,42.58645391,479.3827838,206.1451064,0.485358475,57.09995781,49.45422143,2320.407312
1.02_631.2038m/z,CSID65326809,*,M+H-H2O,C36H41BrO6,26.1,0,-2.474451982,33.29124857,94.2 - 37.3 - 100 - 37.7 - 8.31 - 1.34 - 0.174,http://nonlinear.com/redirect/outbound?p=chemspider&param=65326809,"1,1-Diisopropyl 3-(2-methyl-2-propanyl) 3-(4-bromobenzyl)-6-methyl-2-phenyl-1,1,3-indanetricarboxylate",NA,631.2037588,1,1.0239,Only identification found,1,26.1,26.1,0,0,0,0,0,0,0,0,0,0,0,0,0,2439.534878,0,0,0,0,0,0.052826816,0,0,0,0,0,0,0,0,0,0.066092283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
